market,trxtype,message,retries,is10digit,ecp
TLG,REST,HSS: Invalid K_VALUE,0,Y,HANDLE
TLG,REST,AOTA:Database Error,0,Y,RESEND
TLG,REST,No error code/string found for <HN1B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HS2B> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HN3P> Logical Dvc,0,Y,RESEND
TLG,REST,No error code/string found for <HC3P> Logical Dvc,0,Y,RESEND
TLG,NTY,No error code/string found for <SNM1> Logical Dvc,0,Y,HANDLE
TLG,REST,CRITICAL ERROR Occurred - Check the Error logs,0,Y,CLEAN_RESEND
TLG,SUS,TPP:RingCentralOH::cancelled account expected,0,Y,HANDLE
TLG,RST,"UCE Incorrect URI, XML doc not exists or been del",0,Y,RSA_HANDLE
TLG,SUS,OHP GSM: IMSI doesnot exist,0,Y,HANDLE
CSI,UTR,No error code/string found for <COM1> Logical Dvc,0,Y,RESEND
